Sample,ZP3_FPKM
CGGA_1714,5.27
CGGA_1631,17.35
CGGA_P84,1.03
CGGA_1172,3.11
CGGA_1434,1.76
CGGA_619,1.58
CGGA_1604,0.6
CGGA_1057,4.06
CGGA_P128,0.3
CGGA_1708,4.07
CGGA_1437,2.37
CGGA_1018,1.13
CGGA_1238,1.85
CGGA_P335,3.0
CGGA_336,0.1
CGGA_1538,2.59
CGGA_1430,0.72
CGGA_1560,0.57
CGGA_P385,0.89
CGGA_1640,4.37
CGGA_1158,1.12
CGGA_1612,1.86
CGGA_P185,0.98
CGGA_1736,1.8
CGGA_1371,3.58
CGGA_1350,0.0
CGGA_1380,1.85
CGGA_1953,0.42
CGGA_1820,1.43
CGGA_P102,1.16
CGGA_1642,3.64
CGGA_1653,2.38
CGGA_1424,0.0
CGGA_1502,1.2
CGGA_P421,0.37
CGGA_1626,0.71
CGGA_1564,3.76
CGGA_P177,1.33
CGGA_P446,0.0
CGGA_1205,0.4
CGGA_P182,0.86
CGGA_P144,0.75
CGGA_1183,1.62
CGGA_1656,3.58
CGGA_P153,0.03
CGGA_P501,0.2
CGGA_583,0.04
CGGA_1588,35.33
CGGA_1365,0.11
CGGA_1498,0.27
CGGA_1661,7.69
CGGA_1606,0.17
CGGA_P326,6.04
CGGA_1389,2.37
CGGA_2081,0.69
CGGA_135,2.04
CGGA_1812,1.61
CGGA_1137,0.14
CGGA_1195,40.08
CGGA_P176,0.23
CGGA_1875,28.63
CGGA_1542,0.18
CGGA_P146,0.61
CGGA_1155,2.07
CGGA_1108,1.18
CGGA_1051,2.18
CGGA_112,0.53
CGGA_1908,1.56
CGGA_1111,0.19
CGGA_P136,0.06
CGGA_265,1.98
CGGA_P266,0.0
CGGA_1657,6.58
CGGA_P122,0.18
CGGA_1392,7.07
CGGA_1899,2.02
CGGA_P93,0.31
CGGA_507,2.09
CGGA_1533,0.74
CGGA_1467,0.03
CGGA_1121,1.32
CGGA_1684,3.07
CGGA_1814,1.69
CGGA_1387,0.4
CGGA_1739,0.66
CGGA_482,0.46
CGGA_P16,0.05
CGGA_P131,0.29
CGGA_1305,8.24
CGGA_1902,2.35
CGGA_P568,0.58
CGGA_1445,0.85
CGGA_1552,0.8
CGGA_1178,0.66
CGGA_P311,0.92
CGGA_1513,1.92
CGGA_1791,0.0
CGGA_1524,1.4
CGGA_1526,0.7
CGGA_869,12.45
CGGA_1232,1.55
CGGA_P83,1.95
CGGA_1461,0.36
CGGA_1703,2.24
CGGA_P103,0.42
CGGA_P483,0.2
CGGA_730,0.55
CGGA_1208,6.18
CGGA_1687,7.85
CGGA_1863,0.69
CGGA_1161,4.64
CGGA_1476,1.66
CGGA_1058,0.86
CGGA_1404,2.18
CGGA_2115,0.79
CGGA_1311,0.46
CGGA_1211,1.69
CGGA_1378,0.0
CGGA_1106,6.04
CGGA_1595,5.81
CGGA_1543,16.26
CGGA_1032,1.51
CGGA_1086,0.15
CGGA_487,1.91
CGGA_1563,1.15
CGGA_J73,0.31
CGGA_1457,4.83
CGGA_1911,3.4
CGGA_1882,22.12
CGGA_369,2.04
CGGA_1686,4.82
CGGA_663,0.6
CGGA_P500,0.37
CGGA_P110,1.39
CGGA_1398,1.27
CGGA_1447,0.0
CGGA_P399,0.44
CGGA_P510,0.94
CGGA_P132,0.11
CGGA_1655,1.3
CGGA_1452,6.76
CGGA_P401,0.05
CGGA_1030,2.01
CGGA_P19,0.32
CGGA_1826,0.91
CGGA_1706,7.79
CGGA_1780,0.0
CGGA_1401,0.35
CGGA_1087,0.18
CGGA_1738,3.19
CGGA_P295,4.38
CGGA_1413,0.58
CGGA_1420,1.48
CGGA_1505,0.3
CGGA_1528,2.45
CGGA_1713,0.24
CGGA_1492,0.36
CGGA_1431,2.98
CGGA_1154,1.07
CGGA_1865,2.46
CGGA_P181,0.68
CGGA_P416,0.75
CGGA_1565,2.41
CGGA_1743,1.0
CGGA_625,0.57
CGGA_J50,0.41
CGGA_1771,0.98
CGGA_1002,2.29
CGGA_1862,5.15
CGGA_720,0.71
CGGA_P86,0.9
CGGA_1255,10.63
CGGA_1648,52.95
CGGA_1504,2.87
CGGA_1955,3.83
CGGA_108,1.12
CGGA_1075,16.26
CGGA_P163,0.82
CGGA_1469,0.02
CGGA_1679,13.4
CGGA_1569,10.23
CGGA_1454,1.23
CGGA_1135,0.73
CGGA_1425,4.83
CGGA_1635,0.0
CGGA_42,0.31
CGGA_903,0.65
CGGA_1402,2.21
CGGA_1634,3.95
CGGA_1903,140.66
CGGA_194,0.52
CGGA_831,1.35
CGGA_1976,0.9
CGGA_1239,0.65
CGGA_1487,0.47
CGGA_1407,3.91
CGGA_1496,0.1
CGGA_1554,1.28
CGGA_1697,0.89
CGGA_1749,0.7
CGGA_1529,0.56
CGGA_1663,3.02
CGGA_634,1.01
CGGA_1558,6.55
CGGA_1303,0.31
CGGA_1567,15.3
CGGA_1704,3.73
CGGA_P99,1.8
CGGA_1681,7.41
CGGA_P623,0.4
CGGA_1065,0.45
CGGA_P157,1.58
CGGA_1257,0.89
CGGA_1531,0.44
CGGA_2082,3.28
CGGA_2053,1.02
CGGA_P388,0.31
CGGA_825,0.71
CGGA_P422,0.12
CGGA_1785,1.91
CGGA_1586,3.56
CGGA_1130,5.8
CGGA_1426,0.62
CGGA_1458,0.54
CGGA_1391,3.69
CGGA_1672,4.42
CGGA_P328,0.91
CGGA_1443,8.21
CGGA_P271,0.0
CGGA_1159,3.11
CGGA_883,4.1
CGGA_1486,0.0
CGGA_P145,1.5
CGGA_1886,2.66
CGGA_1508,0.98
CGGA_P87,5.22
CGGA_P100,0.64
CGGA_1518,3.03
CGGA_1157,22.64
CGGA_1659,4.96
CGGA_1658,2.75
CGGA_652,1.09
CGGA_1675,0.48
CGGA_P137,1.15
CGGA_1587,0.76
CGGA_1156,1.76
CGGA_1664,1.43
CGGA_780,1.34
CGGA_1613,10.92
CGGA_P114,0.1
CGGA_861,0.72
CGGA_1580,0.52
CGGA_1055,2.01
CGGA_1630,4.06
CGGA_1147,0.68
CGGA_P155,0.56
CGGA_P438,0.37
CGGA_1740,2.07
CGGA_1500,2.48
CGGA_1131,0.59
CGGA_1521,1.44
CGGA_1621,1.98
CGGA_621,1.98
CGGA_1700,3.87
CGGA_1517,0.99
CGGA_2079,0.27
CGGA_1473,19.86
CGGA_1620,2.79
CGGA_P338,0.52
CGGA_P315,4.11
CGGA_P175,0.24
CGGA_P178,0.11
CGGA_P3,0.08
CGGA_457,0.17
CGGA_2075,6.31
CGGA_1321,1.9
CGGA_D19,0.25
CGGA_1760,6.47
CGGA_1459,0.43
CGGA_1471,1.45
CGGA_P265,0.32
CGGA_2003,0.82
CGGA_P115,0.22
CGGA_1235,1.77
CGGA_1101,1.52
CGGA_P279,0.75
CGGA_2024,0.45
CGGA_1069,0.57
CGGA_1662,4.82
CGGA_474,1.11
CGGA_1169,0.51
CGGA_1326,5.1
CGGA_1603,16.94
CGGA_1723,0.68
CGGA_P112,0.77
CGGA_1212,2.04
CGGA_1152,2.71
CGGA_P468,0.09
CGGA_799,1.52
CGGA_1866,2.72
CGGA_1535,9.19
CGGA_1184,1.28
CGGA_P615,0.35
CGGA_1082,2.27
CGGA_P604,0.11
CGGA_P298,0.66
CGGA_2002,1.66
CGGA_846,1.64
CGGA_1462,1.03
CGGA_1594,132.9
CGGA_1615,597.39
CGGA_P109,1.55
CGGA_103,0.27
CGGA_1421,6.79
CGGA_1494,0.11
CGGA_1678,0.24
CGGA_1627,3.5
CGGA_1735,0.58
CGGA_1410,0.17
CGGA_1192,2.43
CGGA_1362,1.75
CGGA_1126,1.72
CGGA_1003,2.54
CGGA_1472,9.73
CGGA_1617,3.7
CGGA_1300,1.14
CGGA_1764,0.54
CGGA_1916,1.48
CGGA_1718,2.67
CGGA_888,0.37
CGGA_2006,0.19
CGGA_1721,16.73
CGGA_157,4.74
CGGA_P306,1.14
CGGA_1429,0.77
CGGA_1660,355.65
CGGA_1551,41.72
CGGA_1645,0.64
CGGA_1619,3.02
CGGA_P439,0.25
CGGA_1572,5.54
CGGA_1523,0.51
CGGA_1592,1.93
CGGA_763,0.53
CGGA_1857,4.53
CGGA_P283,1.36
CGGA_P158,0.0
CGGA_1497,1.39
CGGA_707,0.29
CGGA_P316,10.74
CGGA_887,0.56
CGGA_P411,0.26
CGGA_P205,0.06
CGGA_1559,0.58
CGGA_1361,0.48
CGGA_1579,2.65
CGGA_568,2.37
CGGA_P358,1.59
CGGA_2046,0.8
CGGA_1359,1.26
CGGA_1382,2.93
CGGA_P7,1.59
CGGA_1503,0.22
CGGA_2008,0.89
CGGA_1833,1.06
CGGA_P156,0.2
CGGA_P5,0.15
CGGA_1162,179.63
CGGA_1353,0.37
CGGA_1541,1.76
CGGA_2056,5.84
CGGA_1132,0.68
CGGA_721,2.43
CGGA_P107,0.23
CGGA_1877,7.02
CGGA_1596,2.29
CGGA_P150,0.51
CGGA_1589,1.56
CGGA_P415,2.57
CGGA_1228,3.26
CGGA_1709,2.01
CGGA_1537,0.59
CGGA_1390,2.29
CGGA_1148,1.51
CGGA_1514,0.05
CGGA_1608,2.51
CGGA_1985,3.19
CGGA_P280,0.68
CGGA_P121,2.89
CGGA_P356,3.96
CGGA_1575,1.6
CGGA_1614,1.04
CGGA_1103,0.07
CGGA_1286,1.32
CGGA_P147,0.43
CGGA_1525,101.27
CGGA_P596,1.31
CGGA_1248,1.69
CGGA_1142,0.49
CGGA_P346,1.05
CGGA_P269,1.43
CGGA_1138,5.1
CGGA_1403,0.12
CGGA_1036,3.26
CGGA_1191,0.94
CGGA_1568,5.83
CGGA_107,2.16
CGGA_1446,0.03
CGGA_P106,0.62
CGGA_1264,1.86
CGGA_1601,17.66
CGGA_1694,2.47
CGGA_1185,2.88
CGGA_1722,0.2
CGGA_P22,3.48
CGGA_862,0.82
CGGA_1120,0.14
CGGA_1488,1.09
CGGA_1546,3.27
CGGA_P172,0.05
CGGA_1417,0.15
CGGA_1725,0.12
CGGA_P151,2.05
CGGA_1854,2.65
CGGA_1946,5.17
