Cohort,Model,n,Events,HR,CI_low,CI_high,P,Logrank_p_median_split,ZP3_median_split,High_n,Low_n
CGGA-325,Cox univariate (continuous ZP3),313,218,1.2360862070949785,1.1421938390711417,1.337696859416595,1.4518980553996063e-07,0.0008238527483860419,0.71,158,155
CGGA-325,"Cox multivariable (ZP3 + Age,Grade,IDH,1p19q)",304,211,1.0943379448261652,0.9927207781185993,1.206356876861181,0.0698215515687941,,,,
