Immune_feature,CGGA693_rho,CGGA693_p,CGGA325_rho,CGGA325_p
M2_Macrophage,0.3094012689374924,7.70786532504944e-17,0.4108356366978549,1.1497848540160027e-14
T_cell_exhaustion,0.2812703008033806,4.5624924359276926e-14,0.42953883825979666,5.045924760273323e-16
Cytolytic_activity,0.5089966023677788,6.026195167992125e-47,0.3335534865305005,6.934719890814415e-10
Treg,0.4974029385265195,1.3628717868613741e-44,0.4425417954217181,5.107983027083652e-17
IFN_gamma,0.403960643526272,1.3841040161299121e-28,0.37893655186793185,1.5440504389717956e-12
Checkpoint,0.278147436372358,8.877050690012252e-14,0.44929297264901985,1.4953551083219764e-17
Myeloid,0.3565776015270271,3.316969541198386e-22,0.36369832046278483,1.3381002225626863e-11
