Feature,P_value,FDR
Histology,1.932195659954966e-05,6.762684809842382e-05
Grade,0.026898092110704083,0.04707166119373215
IDH_mutation,5.258039860411215e-09,3.6806279022878504e-08
1p19q_codeletion,0.0001407670933908792,0.0003284565512453848
MGMT_methylation,0.4204966152077335,0.5345365729477267
Age,0.6268973442345924,0.6268973442345924
OS_survival,0.45817420538376574,0.5345365729477267
