Feature,Spearman_rho,P_value
M2_Macrophage,0.3094012689374924,7.70786532504944e-17
T_cell_exhaustion,0.34610618905830787,6.208657442299185e-21
Cytolytic_activity,0.5089966023677788,6.026195167992125e-47
Treg,0.4974029385265195,1.3628717868613741e-44
IFN_gamma,0.403960643526272,1.3841040161299121e-28
Checkpoint,0.278147436372358,8.877050690012252e-14
Myeloid,0.3565776015270271,3.316969541198386e-22
