Signature,Genes_found,Spearman_rho,p_value
T_cell_exhaustion,6,0.26432500097544626,5.661305561236038e-07
Cytolytic_activity,4,0.6567197476984232,2.5728183774483494e-44
Immune_checkpoint,6,0.3640405605692091,2.407296510815484e-12
Macrophage_M2,4,0.6436024818961632,4.3577832344562294e-42
Treg,4,0.35520730738221945,8.71012712312766e-12
TGF_beta,5,0.07856221261305786,0.14359124674658133
IFN_gamma_response,5,0.5827095771444046,4.971649802304645e-33
