sample,ZP3,subtype,subtype_clean,idh
TCGA-19-2624-01,0.0014,Proneural,Proneural,WT
TCGA-19-5960-01,4.2495,Proneural,Proneural,WT
TCGA-06-0686-01,2.2573,Proneural,Proneural,WT
TCGA-06-2563-01,-0.4719,Classical,Classical,WT
TCGA-15-1444-01,4.1923,Proneural,Proneural,R132G
TCGA-32-4213-01,0.8805,Mesenchymal,Mesenchymal,WT
TCGA-15-0742-01,2.7572,Classical,Classical,WT
TCGA-06-0187-01,-0.3201,Classical,Classical,WT
TCGA-19-1390-01,-0.0277,Proneural,Proneural,WT
TCGA-06-2557-01,1.2455,Mesenchymal,Mesenchymal,WT
TCGA-06-0878-01,1.9749,Mesenchymal,Mesenchymal,WT
TCGA-06-2567-01,4.9477,Neural,Neural,WT
TCGA-32-2616-01,2.9375,Mesenchymal,Mesenchymal,
TCGA-28-5208-01,2.05,Mesenchymal,Mesenchymal,WT
TCGA-28-2514-01,0.9862,Classical,Classical,WT
TCGA-06-1804-01,0.2154,Classical,Classical,WT
TCGA-14-2554-01,0.7407,Neural,Neural,WT
TCGA-02-2485-01,2.1444,Classical,Classical,WT
TCGA-06-5858-01,2.1345,Mesenchymal,Mesenchymal,WT
TCGA-06-0178-01,3.0127,Neural,Neural,WT
TCGA-14-1823-01,1.125,Mesenchymal,Mesenchymal,WT
TCGA-28-2509-01,1.6281,Mesenchymal,Mesenchymal,WT
TCGA-06-2558-01,1.9601,Proneural,Proneural,WT
TCGA-06-0745-01,4.8228,Proneural,Proneural,WT
